炕席 苇箔
卢 邵
朝见 朝见
司令 总司令
配音 配音
明面儿 公开
机具 机器
糖人 糖人
校长 厂长
机关 自动
猪肝 鸡杂
外客 房客
分理处 财务处
阿斗 庸人
版纳 县
归期 兑付期
毕业证 工作证
生财 杂物
夏初 初夏
践 实行
猪肉 禽肉
集约 集约经营
集粹 采集
临床 医治
纸屑 草屑
罪该万死 罪恶
外宾 国宾
血吸虫 鞭毛虫
殉情 殉情
膂 脊
消费群 消费群
白鹿泉乡 白湖乡
楼台 阳台
可怜相 老相
麻痹 麻木
纪委 省纪委
克郎球 康乐球
原线圈 原线圈
人所共知 路人皆知
爸爸 父
单干户 暴发户
公开赛 初赛
映 反射
平复 恢复
风情万种 风情万种
外存 内存
外孙 外孙
坐药 栓剂
架桥 修造船
细菌肥料 有机肥料
红澄澄 鲜红色
蚕食 并吞
备灾 准备
山樱桃 樱桃
赊购 征购
尊贵 尊贵
晴到少云 晴
须生 老生
足银 银
神父 神甫
平头 整数
神采飞扬 激昂
舱口 舱口
套间 套间
指代 代替
审问 审讯
冷柜 立柜
后怕 后怕
赏析 欣赏
视而不见 置之不理
开心 开玩笑
教务长 系主任
切齿痛恨 愤恨
嘉奖 奖励
婚恋 恋爱
校门 宅门
麻疹 白粉病
夜壶 便壶
书楼 写字楼
冷枪 长枪
演剧队 宣传队
陪衬 陪衬
象是 近似
升迁 晋升
公贿 贿赂
真假 真假
国药 中药
小百货 百货
锐角 内角
苛性碱 苛性碱
数轴 数轴
谈论 议论
好胜 虚荣
农区 郊区
留后手 留后路
税法 民法
神物 神
气臌 胀
标准粉 富强粉
廿 廿
不平 不平
炕床 牙床
围场路 山水田林路
绝对数 序数
鸡冠花 香菊片
麻卵石 尖石
开市 开市
磨砺 锻炼
国花 牡丹
掺杂使假 造假
静卧 静卧
成年组 年龄组
贳 赦免
副官 司令员
口音 方音
以身试法 违法
查哨 清查
花 花费
原鸽 野鸽
豆乳 豆浆
潜水艇 潜水艇
安盟 安盟
联校 电大
小艇 小船
镇尺 尺
挂架 行李架
暗无天日 黑暗
星期二 星期二
一来二去 交往
活字版 活版
近程 远程
大前提 大前提
将近 靠近
打擂台 争衡
安生 安定
姊妹花 香菊片
仉 邵
萝卜 萝卜
握别 临别
奉节县 花县
长拳 长拳
次女 长女
流体力学 尖端科学
八九不离十 近似
小船 小船
改过 改过
曙 黎明
梦话 梦话
困守 退守
不景气 凋敝
怎样 怎样
去 失去
刑讯 刑讯
第一产业 第二产业
刺配 充军
小舌 小舌
传阅 传阅
社会保险费 学费
斯德哥尔摩市 阿比让市
围住 包围
绩 功劳
小舅 舅父
平声 平声
知法犯法 知法犯法
楚国 亚美尼亚
脆亮 响
犀浦镇 艾基莱镇
农务 务农
雹 雹
寻 寻找
咽喉 要道
渐变 渐变
平壤 巴拿马城
守信用 守信
讨论 议论
陷落地震 病害
外婆 外祖母
侈 奢侈
外套 外衣
甏 坛子
短时期 短时期
授 交
真切 真诚
棉鞋 便鞋
一院制 责任制
刑警 路警
软骨头 懦夫
空心坝 丁坝
清凄寂冷 凄凉
政务司 政务司
宝刀不老 鹤发童颜
负 依靠
国航 泰航
科技园 科技园
眼中 狱中
立体声 男声
卢布 硬币
任其自然 天然
建筑法 民法
左臂 左上臂
光彩夺目 绚丽
开庭 开庭
樱 樱桃
路徽 国徽
坐观成败 观望
锡箔 银锭
小苗 苗
横幅 横幅
通山 嵩山
阳离子 正离子
错觉 误认为
槐角 槐角
坐舱 货舱
军工 军工
泡沫塑料 泡沫塑料
国色 美女
坐船 打车
当时 立刻
动力机 发动机
朴实无华 朴素
当 嘡嘡
古典 典故
刀痕 深痕
户主 货主
当日 当日
幸事 好事
督 监督
夜宵 夜宵
会集 集合
美美 美丽
无烟火药 黑色火药
打硬仗 激战
小节 小节
岁 年
外地人 外乡人
冷暖 冷暖
扁平 扁
情窦初开 春情
明码 标价
书案 书桌
握力 臂力
恤金 抚恤金
书桌 书桌
胜似 胜于
不再 不再
春花作物 夏熟作物
磨杵成针 有恒
八节 八节
天主 天主教徒
零散 零碎
人大 夜大学
长方 长方
茶鸡蛋 鲜蛋
冲撞 撞
葺 修理
次席 硬席
一气呵成 完成
镇江 营口
砝码 秤杆
机场 飞机场
狮子 狮
清凉 凉
身孕 身孕
洗手间 厕所
三星村 干涧村
微生物学 尖端科学
傣 夷
表象 表象
卫生部 安全部
照相纸 油纸
路堤 丁坝
外差 外差
横加指责 责备
梳 梳头
天上 天
长斋 长斋
动物纤维 动物纤维
开头 开始
锶 镍
滚水 开水
两姨亲 两姨亲
能掐会算 掐算
刀削面 削面
新疆省 西藏自治区
具体而微 全面
胃 胃
该书 本书
要求者 要求者
春姑娘 姑娘
类型学 尖端科学
秘密 秘密
清净 安静
编辑 编辑
古国 他国
尺蠖蛾 天蛾
无业游民 流浪汉
立体式 模式
城东区 白云区
思恋 留恋
天书 藏书
多伦多市 阿比让市
嫡堂 堂
丐 乞丐
配重 配器
变法儿 设法
私生活 私生活
痹症 麻风
藓苔 苔
银元 银元
铅酸 磷酸
人人自危 危险
上辈 上辈
呈交 交纳
扯谎 说谎
勇气 胆量
挂怀 挂念
压力表 煤气表
茅屋 草屋
副将 副将
典章 章程
泰山鸿毛 轻
不顾流俗 不顾流俗
乳胶 胶
昆布 海带
白叟黄童 老小
发射台 转台
叠床架屋 重复
谛 道理
贸易额 贸易额
城西乡 白湖乡
象形文字 拼音文字
备件 备件
够格 合格
燕头镇 艾基莱镇
抓好 办好
生产基金 生产基金
备份 维修
渔港村 大鹿岛村
天井 院子
镇容 镇容
仙逝 仙逝
碧绿 绿
运送 运输
慧心 智慧
人民检察院 检察院
茅山 嵩山
抒情性 抒情性
妾 妾
硫化 液化
子午仪 地球仪
廉洁勤政 节约
后景 内景
开始 开始
感叹句 陈述句
照耀 照射
天价 物价
丽人 美女
用途林 用途林
鼻化元音 半元音
历险 历险
腻虫 蚜虫
昏昏欲睡 昏昏欲睡
人权学 尖端科学
开门见山 直言
觞 酒杯
天仙 仙女
出伏 出伏
后晌 下午
闷闷不乐 忧闷
拨浪鼓 拨浪鼓
太君 令堂
乐此不疲 沉迷
全力 竭力
摩加迪沙 欧罗巴洲
良 非常
传球 传球
格陵兰 女儿岛
原则性 固定
太后 太后
硬骨头 硬汉
长效 肥效
兹 年
一鸣惊人 成名
分秒 一眨眼
阿拉斯加 欧罗巴洲
驿 通信站
耍花腔 耍花招
延长县 花县
翅脉 肺静脉
历经沧桑 波折
姑爷 姑老爷
姑父 姑父
销货款 借款
响当当 著名
丧胆 害怕
平底 底
地缘文化 食文化
将要 即将
站住脚 止步
起码 至少
佟 邵
卫辉市 阿比让市
哭天哭地 号
戚 亲戚
小葱 葱
天伦 伦常
鼓励类 蜥脚类
坐蓐 坐月子
平庸 无能
摩挲 抚摩
口重 咸
口里 馆里
筹码 筹码
机台 服务台
断层 对流层
船艇 船艇
注重 重视
最高点 居民点
电抗器 竹器
槐豆 杂豆
为民除害 锄奸
逗人 逗人
辞书 工具书
汗颜 惭愧
寒冬腊月 严冬
拟稿 起草
心惊肉跳 害怕
机器 机器
只字不提 别提
天使 天使
痞子 流氓
炕头 炕头
咻 嘎嘎
狗熊 狗熊
寂寞者 寂寞者
悍匪 绑匪
冰层 土壤层
骨瘦如柴 瘦
耍态度 动火
成事不足，败事有余 坏事
医护 护理
船舱 船舱
空无所有 空
空架子 空架子
自尊心 欢心
犹太人 西人
船舷 桌边
船舶 船
古城 危城
择优 择优
冰山 冰山
气虚 孱弱
尽善尽美 好
桃李满天下 桃李满天下
颐指气使 骄傲
旧友 旧交
天体 宇宙
吃素 吃素
吃紧 紧张
战败 战败
炉温 恒温
夏历 阴历
峨 高
目不窥园 用功
炉渣 钢渣
开合桥 开合桥
荨麻疹 荨麻疹
拍戏 拍戏
外层 外围
鱼龙混杂 混杂
金融司 政务司
